ID,Name,TP,FP,FN,Precision,Recall,F1
1,Other Posterior Circulation,0,0,0,0.0,0.0,0.0
2,Basilar Tip,0,0,0,0.0,0.0,0.0
3,Right Posterior Communicating Artery,0,0,0,0.0,0.0,0.0
4,Left Posterior Communicating Artery,0,0,0,0.0,0.0,0.0
5,Right Infraclinoid Internal Carotid Artery,0,0,0,0.0,0.0,0.0
6,Left Infraclinoid Internal Carotid Artery,0,0,0,0.0,0.0,0.0
7,Right Supraclinoid Internal Carotid Artery,0,0,0,0.0,0.0,0.0
8,Left Supraclinoid Internal Carotid Artery,0,0,0,0.0,0.0,0.0
9,Right Middle Cerebral Artery,0,0,0,0.0,0.0,0.0
10,Left Middle Cerebral Artery,0,0,0,0.0,0.0,0.0
11,Right Anterior Cerebral Artery,0,0,0,0.0,0.0,0.0
12,Left Anterior Cerebral Artery,0,0,0,0.0,0.0,0.0
13,Anterior Communicating Artery,0,0,0,0.0,0.0,0.0
